workerId,chart,data_size,true_percentage,error,responseTime
c439beb15320f9219723342817158e7ec7f617b6,WB,150,77,12,11681
c439beb15320f9219723342817158e7ec7f617b6,WB,75,62,12,4907
c439beb15320f9219723342817158e7ec7f617b6,WB,300,38,12,4133
c439beb15320f9219723342817158e7ec7f617b6,WB,75,77,37,5590
c439beb15320f9219723342817158e7ec7f617b6,WB,300,8,3,4995
c439beb15320f9219723342817158e7ec7f617b6,WB,300,77,37,5329
c439beb15320f9219723342817158e7ec7f617b6,WB,300,62,7,8531
c439beb15320f9219723342817158e7ec7f617b6,WB,75,92,2,3538
c439beb15320f9219723342817158e7ec7f617b6,WB,300,92,3,5428
c439beb15320f9219723342817158e7ec7f617b6,WB,150,38,12,4071
c439beb15320f9219723342817158e7ec7f617b6,WB,300,47,3,3993
c439beb15320f9219723342817158e7ec7f617b6,WB,150,47,3,4440
c439beb15320f9219723342817158e7ec7f617b6,WB,75,8,2,4779
c439beb15320f9219723342817158e7ec7f617b6,WB,300,17,7,5290
c439beb15320f9219723342817158e7ec7f617b6,WB,150,23,3,4050
c439beb15320f9219723342817158e7ec7f617b6,WB,75,23,2,3268
c439beb15320f9219723342817158e7ec7f617b6,WB,300,23,2,5587
c439beb15320f9219723342817158e7ec7f617b6,WB,150,17,2,6216
c439beb15320f9219723342817158e7ec7f617b6,WB,300,83,3,5474
c439beb15320f9219723342817158e7ec7f617b6,WB,150,8,7,4509
c439beb15320f9219723342817158e7ec7f617b6,WB,150,92,2,3664
c439beb15320f9219723342817158e7ec7f617b6,WB,300,53,2,5477
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,8,3,9888
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,62,18,4657
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,83,8,3198
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,23,7,2941
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,53,17,3239
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,8,3,8556
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,77,13,3970
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,77,13,4296
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,53,17,4401
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,47,23,4074
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,17,2,3999
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,17,3,7132
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,83,3,4610
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,38,42,3953
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,38,32,7186
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,8,2,3866
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,92,7,4475
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,62,18,2946
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,23,37,2534
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,47,23,2826
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,47,28,3814
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,75,62,8,2516
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,23,37,2611
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,38,12,2270
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,53,13,2806
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,83,23,2331
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,17,23,7354
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,77,8,15028
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,150,92,12,3841
0619a5c606ee17505edaab87c61984f19bfbdd7e,TM,300,92,12,3587
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,23,17,7645
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,77,12,8022
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,83,23,8520
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,47,2,11826
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,47,3,8939
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,8,3,5854
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,62,2,6273
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,17,2,7766
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,23,2,6726
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,8,3,3946
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,92,2,4449
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,62,18,3474
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,92,3,6840
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,62,8,3162
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,92,2,3725
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,8,3,3784
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,47,18,5660
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,53,2,4672
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,53,17,3671
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,83,12,3904
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,17,3,4107
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,38,8,3875
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,77,8,3319
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,23,8,3369
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,38,3,3386
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,75,83,12,4361
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,53,27,3257
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,38,12,4907
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,150,17,2,5146
005855214eae7e0717982c1eebdbc515ba6e6e80,WB,300,77,3,3967
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,47,3,4153
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,62,18,4353
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,23,7,3664
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,92,7,3850
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,38,12,4440
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,17,8,2731
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,8,2,2791
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,62,18,2896
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,77,2,3207
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,47,33,3945
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,17,3,4015
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,83,7,4346
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,8,2,4421
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,17,2,3988
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,83,2,3787
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,83,12,4284
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,23,2,4767
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,62,13,4105
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,92,3,4842
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,77,13,3850
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,77,8,5308
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,23,2,4323
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,38,3,3872
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,53,3,3368
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,300,53,3,4813
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,38,3,3908
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,75,53,3,2761
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,8,2,4281
eeb5d626ac8d3f8114f6d45815d8e4030918d4b9,WB,150,47,12,3550
