distance,task,workerId,isCorrect,chart,time,dataSize
0.21,MEAN,A32XODQOC2CCDG,0,LL,2.209,75
0.02,MEAN,A32XODQOC2CCDG,1,LL,1.823,75
0.45,MEAN,A32XODQOC2CCDG,0,LL,1.19,75
0.26,MEAN,A32XODQOC2CCDG,0,LL,1.302,75
0.07,MEAN,A32XODQOC2CCDG,1,LL,2.299,75
0.01,MEAN,A32XODQOC2CCDG,1,LL,1.968,75
0.34,MEAN,A32XODQOC2CCDG,0,LL,1.94,75
0.03,MEAN,A32XODQOC2CCDG,1,LL,3.308,75
0.1,MEAN,A32XODQOC2CCDG,0,LL,2.149,75
0.36,MEAN,A32XODQOC2CCDG,0,LL,2.139,75
0.27,MEAN,A32XODQOC2CCDG,0,LL,2.076,75
0.26,MEAN,A32XODQOC2CCDG,0,LL,2.452,75
0.18,MEAN,ABMPX2Y2IRBMG,0,WB,12.13,300
0.19,MEAN,ABMPX2Y2IRBMG,0,WB,2.856,300
0.18,MEAN,ABMPX2Y2IRBMG,0,WB,3.143,300
0.21,MEAN,ABMPX2Y2IRBMG,0,WB,3.547,150
0.19,MEAN,ABMPX2Y2IRBMG,0,WB,8.328,300
0.21,MEAN,ABMPX2Y2IRBMG,0,WB,2.279,150
0.41,MEAN,ABMPX2Y2IRBMG,0,WB,2.101,300
0.21,MEAN,ABMPX2Y2IRBMG,0,WB,2.975,150
0.34,MEAN,ABMPX2Y2IRBMG,0,WB,2.803,300
0.33,MEAN,ABMPX2Y2IRBMG,0,WB,2.506,150
0.42,MEAN,ABMPX2Y2IRBMG,0,WB,2.87,300
0.37,MEAN,ABMPX2Y2IRBMG,0,WB,1.94,300
0.26,MEAN,ABMPX2Y2IRBMG,0,WB,1.928,150
0.08,MEAN,ABMPX2Y2IRBMG,1,WB,2.167,150
0.41,MEAN,ABMPX2Y2IRBMG,0,WB,2.168,150
0.29,MEAN,ABMPX2Y2IRBMG,0,WB,3.56,150
0.11,MEAN,ABMPX2Y2IRBMG,0,WB,2.666,150
0.09,MEAN,ABMPX2Y2IRBMG,1,WB,1.752,150
0.3,MEAN,ABMPX2Y2IRBMG,0,WB,3.83,300
0.14,MEAN,ABMPX2Y2IRBMG,0,WB,2.552,300
0.07,MEAN,ABMPX2Y2IRBMG,1,WB,1.76,150
0.68,MEAN,ABMPX2Y2IRBMG,0,WB,3.645,300
0.4,MEAN,ABMPX2Y2IRBMG,0,WB,1.806,300
0.21,MEAN,ABMPX2Y2IRBMG,0,WB,3.609,150
0.29,MEAN,ABMPX2Y2IRBMG,0,WB,3.415,300
0.11,MEAN,ABMPX2Y2IRBMG,0,WB,2.753,150
0.58,MEAN,ABMPX2Y2IRBMG,0,WB,3.844,300
0.61,MEAN,ABMPX2Y2IRBMG,0,WB,3.833,300
0.59,MEAN,ABMPX2Y2IRBMG,0,WB,2.431,150
0.03,MEAN,ABMPX2Y2IRBMG,1,WB,2.553,150
0.01,MEAN,A1BHR5XQ16T7LA,1,WB,10.083,75
0.02,MEAN,A1BHR5XQ16T7LA,1,WB,8.72,75
0.05,MEAN,A1BHR5XQ16T7LA,1,WB,13.111,75
0.01,MEAN,A1BHR5XQ16T7LA,1,WB,6.612,75
0.07,MEAN,A1BHR5XQ16T7LA,1,WB,10.34,75
0.21,MEAN,A1BHR5XQ16T7LA,0,WB,6.63,75
0.0,MEAN,A1BHR5XQ16T7LA,1,WB,7.124,75
0.04,MEAN,A1BHR5XQ16T7LA,1,WB,9.687,75
0.04,MEAN,A1BHR5XQ16T7LA,1,WB,12.461,75
0.05,MEAN,A1BHR5XQ16T7LA,1,WB,11.519,75
0.05,MEAN,A1BHR5XQ16T7LA,1,WB,9.804,75
0.17,MEAN,A1BHR5XQ16T7LA,0,WB,6.485,75
