workerId,chart,data_size,true_percentage,error,responseTime
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,38,2,8931
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,47,22,14630
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,92,12,10076
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,17,73,13444
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,38,52,12982
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,8,2,8958
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,62,8,10558
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,83,12,10256
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,53,27,7510
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,92,17,12278
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,8,87,11207
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,8,42,11677
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,77,3,8170
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,47,43,9564
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,53,17,5382
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,17,48,4553
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,47,38,7176
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,62,32,6044
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,38,52,9855
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,77,8,5368
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,38,32,9239
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,77,13,20301
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,17,23,6351
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,83,23,9417
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,53,3,5126
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,92,3,5722
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,23,62,5553
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,150,23,72,6972
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,300,23,47,4957
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,83,7,7035
a9886a1d2c5bffd7a37a04e91a5b70947eef4751,PB,75,62,13,5863
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,75,77,8,19979
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,92,3,5217
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,150,23,3,7484
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,8,2,10156
84773f6fb3e217790793d104a8a0f0e31859ae7e,PB,300,83,3,5646
